"","PC1","PC2","PC3","PC4","PC5","class"
"54",-0.929920027724935,0.232510037054774,0.421596451671515,0.120267954578988,0.187962572167498,"L"
"55",-0.50981402204385,-0.186219308906379,0.172369247704742,-0.0896668960597301,0.0344318561510302,"L"
"56",-0.375656371250963,-0.311297625829816,0.114184173927267,-0.178620138121132,0.115280576613581,"W"
"57",-0.57383997463174,-0.126476595054313,0.242749522540349,-0.028102881514076,0.0553118147136109,"L"
"58",-0.608985718770362,-0.09381611678611,0.135249141025942,-0.100287488347461,-0.053572465049376,"W"
"59",-0.537741674991956,-0.16566550569477,0.103538088661017,-0.13290431039188,-0.0646991149456143,"W"
"60",-0.335139092777334,-0.337990694053882,0.213714441144158,-0.177255850875652,0.405051127496934,"W"
"61",-0.533742123828627,-0.157481243944374,0.182888665329979,-0.0961830631046281,0.0957773484385002,"W"
"62",-0.328604957230351,-0.362568081148755,0.00468796290907703,-0.245998347943922,-0.0177641741034632,"W"
"63",-0.171018638856714,-0.513591689822139,-0.0365982830397545,-0.339850012282161,0.103517523298029,"W"
"64",-0.586382133093175,-0.113973248216967,0.199221928039444,-0.066235381055431,0.0362150393136967,"W"
"65",-0.230646372286547,-0.448633258295275,0.155972049315019,-0.194396494177923,0.279417088571883,"W"
"66",-0.603278190281875,-0.083855601882916,0.193020860262528,-0.0841524331379421,0.106758929847036,"W"
"67",-0.649553440789819,-0.036971676447557,0.201142132640623,-0.0618247853932148,0.0841627703018392,"L"
"68",-0.246539694458419,-0.428031624869658,0.254338627943748,-0.124073441224318,0.378872789338078,"W"
"69",-0.485555768384093,-0.206280691721769,0.090247803388158,-0.177150234061364,0.0354430649823891,"W"
"70",-0.378170980043781,-0.321890358696418,0.0514274169757665,-0.20050027104977,-0.0400134957717249,"W"
"71",-0.202942234908757,-0.478766547673352,0.0921422281633516,-0.234531729170323,0.198250364973688,"W"
"72",-0.223005758265984,-0.475257751704156,-0.042768100780637,-0.282057005865983,-0.0838523192713034,"W"
"73",-0.31712649396112,-0.37475163511704,0.00428715737033664,-0.273098627947675,0.0343076167690223,"L"
"74",-0.625169702467575,-0.0793282510932888,0.0913524220572576,-0.105635722576606,-0.156777785781346,"W"
"75",-0.0816748468761481,-0.277607443298089,0.0117251795352925,-0.191522441385012,0.0411185342658033,"W"
"76",-0.0024673453525915,-0.363380046863348,-0.0736923501450298,-0.255724495390557,-0.0508022451359024,"W"
"77",-0.176915175034714,-0.173942573701577,0.162798862020881,-0.0949849779434694,0.231446516828707,"W"
"78",-0.20710507774684,-0.161085982871025,0.0770901068219913,-0.0944946212295278,-0.0390391918203505,"W"
"79",-0.31742254920277,-0.0577889450835041,0.0691654010804022,-0.0615394307042897,-0.150819465433011,"W"
"80",-0.365190830324505,-0.00726960098558356,0.145794598224704,-0.0120575462130239,-0.0585424199954312,"L"
"81",-0.177211922930874,-0.203605132796952,0.101015589706467,-0.0431652498438294,-0.137810929759432,"W"
"82",-0.761368734220813,0.382721680013565,0.384502384566239,0.204393471470592,0.0336428037335665,"L"
"83",-0.153105165151297,-0.22257174208488,-0.103499703387492,-0.219516391246088,-0.232865964086279,"W"
"84",-0.00168875096072406,-0.366925222349886,-0.126588436928189,-0.284914817120147,-0.127414614178413,"W"
"85",-0.299496078577561,-0.0744632346682832,0.210297020936127,0.0180355566565808,0.0167018549569321,"W"
"86",-0.295682198800385,-0.0687391125083033,0.155656033474365,-0.051741503550567,0.0754278881824801,"L"
"87",-0.307054203497479,-0.0703816765758814,-0.0649321042836959,-0.199288682175317,-0.189369291374664,"L"
"88",-0.0343909414046348,-0.328554904714562,0.0550481610580763,-0.150406212278719,0.0439305965397561,"W"
"89",-0.166587799273212,-0.187779051095091,0.176620374038883,-0.0931303339840475,0.250731359063002,"W"
"90",-0.481002147285697,0.113239966511234,0.164048065535348,0.0223007314983894,-0.0701569981320923,"W"
