ranking;jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
87;Marcos Baghdatis;CYP;15;22;6;14;275;7.6;155;4.3;0.53;0.75;0.52;0.82;0.35;0.64;0.25;0.49;0.18
88;Alex Bogomolov Jr.;RUS;6;9;2;4;39;2.8;49;3.5;0.69;0.64;0.52;0.73;0.44;0.58;0.28;0.52;0.21
89;Tim Smyczek;USA;8;11;3;6;112;5.9;46;2.4;0.63;0.69;0.51;0.77;0.38;0.62;0.29;0.51;0.23
90;Somdev Devvarman;IND;13;12;5;5;106;4.6;45;2.0;0.59;0.67;0.51;0.75;0.39;0.66;0.27;0.51;0.22
91;Alejandro Gonzalez;COL;0;1;0;0;7;7.0;6;6.0;0.55;0.72;0.41;0.69;0.31;0.6;0.42;0.57;0.38
92;Michael Russell;USA;7;15;4;2;57;2.6;57;2.6;0.64;0.65;0.47;0.69;0.38;0.54;0.26;0.51;0.2
93;Aleksandr Nedovyesov;KAZ;0;1;0;0;6;6.0;1;1.0;0.56;0.75;0.32;0.7;0.0;0.57;0.18;0.4;0.0
94;Leonardo Mayer;ARG;13;18;9;6;135;4.7;108;3.7;0.62;0.69;0.49;0.75;0.41;0.58;0.28;0.46;0.19
95;Aljaz Bedene;SLO;11;18;5;4;228;7.9;106;3.7;0.57;0.72;0.49;0.75;0.42;0.56;0.28;0.49;0.2
96;Donald Young;USA;2;3;0;0;13;2.6;22;4.4;0.63;0.62;0.44;0.67;0.4;0.64;0.35;0.61;0.35
97;Bradley Klahn;USA;1;3;2;3;32;8.0;9;2.3;0.69;0.75;0.53;0.81;0.32;0.43;0.25;0.45;0.14
98;Sergiy Stakhovsky;UKR;11;17;6;5;159;6.4;67;2.7;0.63;0.71;0.5;0.77;0.36;0.55;0.29;0.45;0.18
99;Alejandro Falla;COL;15;22;6;9;128;3.9;89;2.7;0.57;0.67;0.5;0.73;0.44;0.55;0.29;0.51;0.24
100;Ryan Harrison;USA;11;21;7;8;223;7.0;109;3.4;0.6;0.71;0.49;0.77;0.37;0.65;0.24;0.46;0.14
101;Jesse Huta Galung;NED;1;4;0;0;23;5.8;18;4.5;0.53;0.69;0.42;0.62;0.36;0.29;0.22;0.52;0.13
102;Jack Sock;USA;10;13;4;5;160;7.0;120;5.2;0.54;0.75;0.51;0.8;0.46;0.64;0.25;0.48;0.18
103;Go Soeda;JPN;9;17;4;8;79;3.8;61;2.9;0.57;0.7;0.48;0.71;0.38;0.49;0.25;0.46;0.17
104;Blaz Kavcic;SLO;11;15;2;8;107;4.5;60;2.5;0.63;0.68;0.5;0.75;0.41;0.58;0.31;0.5;0.24
105;Michael Llodra;FRA;13;13;8;3;189;7.6;83;3.3;0.61;0.74;0.53;0.82;0.35;0.58;0.29;0.44;0.17
106;Jan Hajek;CZE;9;15;1;3;76;3.3;30;1.3;0.66;0.63;0.49;0.69;0.39;0.6;0.3;0.49;0.21
107;Jan-Lennard Struff;GER;4;9;1;7;85;6.5;53;4.1;0.59;0.71;0.49;0.76;0.38;0.56;0.25;0.53;0.21
108;Martin Klizan;SVK;12;24;7;8;216;6.0;140;3.9;0.55;0.68;0.49;0.73;0.37;0.66;0.28;0.5;0.2
109;Paolo Lorenzi;ITA;13;25;5;5;109;2.9;86;2.3;0.57;0.68;0.48;0.72;0.35;0.57;0.31;0.48;0.2
110;David Goffin;BEL;11;23;4;9;98;3.1;164;5.1;0.62;0.65;0.49;0.68;0.43;0.55;0.32;0.48;0.23
111;Dustin Brown;GER;2;3;0;2;61;12.2;14;2.8;0.63;0.74;0.49;0.85;0.46;0.73;0.25;0.43;0.15
112;Andreas Haider-Maurer;AUT;3;7;1;4;61;6.8;47;5.2;0.57;0.73;0.43;0.73;0.39;0.57;0.24;0.46;0.15
