jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
60;Adrian Mannarino;FRA;0;1;0;0;5;5.0;5;5.0;0.63;0.59;0.54;0.76;0.42;0.7;0.21;0.55;0.2
61;Lleyton Hewitt;AUS;1;3;0;0;8;2.7;11;3.7;0.48;0.6;0.46;0.58;0.58;0.43;0.38;0.44;0.31
62;Marinko Matosevic;AUS;2;7;1;2;18;2.3;20;2.5;0.58;0.63;0.43;0.6;0.48;0.41;0.35;0.46;0.27
63;Guillermo Garcia-Lopez;ESP;11;10;4;6;49;2.3;104;5.0;0.56;0.67;0.47;0.69;0.39;0.59;0.31;0.54;0.27
64;Albert Montanes;ESP;18;12;5;2;123;4.1;96;3.2;0.61;0.69;0.51;0.77;0.37;0.65;0.32;0.49;0.24
65;Pablo Carreño Busta;ESP;5;4;2;0;25;2.8;16;1.8;0.57;0.63;0.47;0.67;0.43;0.49;0.32;0.49;0.26
66;Yen-Hsun Lu;TPE;2;1;0;0;7;2.3;8;2.7;0.67;0.64;0.47;0.66;0.26;0.48;0.35;0.5;0.26
67;Mikhail Kukushkin;KAZ;0;1;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68;Santiago Giraldo;COL;5;8;1;1;28;2.2;18;1.4;0.64;0.66;0.52;0.74;0.29;0.56;0.28;0.49;0.19
69;Igor Sijsling;NED;4;4;1;1;72;9.0;15;1.9;0.57;0.73;0.48;0.75;0.5;0.49;0.29;0.52;0.25
70;Filippo Volandri;ITA;5;8;2;3;6;0.5;20;1.5;0.72;0.63;0.53;0.71;0.45;0.59;0.33;0.51;0.32
71;Lukasz Kubot;POL;1;7;1;3;25;4.2;26;4.3;0.67;0.62;0.42;0.65;0.38;0.58;0.33;0.5;0.26
72;Dudi Sela;ISR;0;2;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73;Tobias Kamke;GER;6;9;0;3;23;1.6;28;2.0;0.62;0.64;0.49;0.73;0.47;0.57;0.33;0.52;0.3
74;Viktor Troicki;SRB;14;9;6;4;119;5.4;34;1.5;0.59;0.7;0.48;0.75;0.41;0.53;0.35;0.49;0.28
75;Daniel Gimeno-Traver;ESP;10;14;2;4;109;4.5;84;3.5;0.57;0.71;0.47;0.73;0.41;0.6;0.34;0.48;0.25
76;Victor Hanescu;ROU;14;9;6;6;70;3.0;26;1.1;0.71;0.69;0.52;0.82;0.35;0.63;0.29;0.48;0.21
77;Ivo Karlovic;CRO;0;1;1;1;28;28.0;2;2.0;0.67;0.84;0.47;0.94;0.0;0.75;0.26;0.36;0.0
78;Benjamin Becker;GER;0;2;0;0;11;5.5;7;3.5;0.62;0.66;0.36;0.65;0.2;0.47;0.2;0.39;0.04
79;Matthew Ebden;AUS;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
80;Teymuraz Gabashvili;RUS;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81;Lukas Lacko;SVK;0;2;0;0;6;3.0;7;3.5;0.53;0.62;0.46;0.59;0.4;0.44;0.24;0.44;0.09
82;Albert Ramos-Vinolas;ESP;14;12;6;5;78;3.0;47;1.8;0.63;0.68;0.54;0.77;0.46;0.52;0.32;0.49;0.24
83;Kenny De Schepper;FRA;1;5;1;1;39;6.5;39;6.5;0.6;0.74;0.43;0.79;0.3;0.71;0.27;0.44;0.12
84;Jiri Vesely;CZE;0;2;0;1;11;5.5;15;7.5;0.62;0.66;0.42;0.69;0.7;0.57;0.18;0.58;0.23
85;Julian Reister;GER;2;4;1;0;10;1.7;12;2.0;0.7;0.62;0.48;0.63;0.3;0.59;0.31;0.49;0.2
86;Marcos Baghdatis;CYP;0;4;0;2;15;3.8;14;3.5;0.56;0.64;0.55;0.76;0.21;0.68;0.22;0.49;0.1
87;Alex Bogomolov Jr.;RUS;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
88;Aljaz Bedene;GBR;6;8;2;1;90;6.4;46;3.3;0.58;0.68;0.5;0.72;0.49;0.58;0.3;0.5;0.24
89;Tim Smyczek;USA;1;1;0;1;3;1.5;2;1.0;0.7;0.73;0.58;0.88;0.5;0.67;0.32;0.45;0.24
90;Somdev Devvarman;IND;1;2;0;1;12;4.0;8;2.7;0.58;0.62;0.44;0.63;0.54;0.68;0.29;0.44;0.2
91;Alejandro Gonzalez;COL;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
92;Michael Russell;USA;0;3;0;0;5;1.7;7;2.3;0.65;0.58;0.46;0.57;0.33;0.46;0.28;0.51;0.21
