j1_ranking_normalizado,j1_porc_victorias,j1_aces_normalizado,j1_media_1servicioganado,j1_media_juegosganadosconservicio,j1_media_breakpointganados,j1_media_juegosganadosdevolviendo,j1_racha,j2_ranking_normalizado,j2_porc_victorias,j2_aces_normalizado,j2_media_1servicioganado,j2_media_juegosganadosconservicio,j2_media_breakpointganados,j2_media_juegosganadosdevolviendo,j2_racha,clase
0.6,0.33,0.13,0.7,0.75,0.25,0.09,0.17,0.8,0.4,0.12,0.67,0.73,0.21,0.1,0.33,L
0.6,0.33,0.13,0.7,0.75,0.25,0.09,0.17,0.6,0.8,0.59,0.83,0.93,0.44,0.13,0.83,L
0.6,0.33,0.13,0.7,0.75,0.25,0.09,0.17,0.8,0.43,0.34,0.71,0.85,0.33,0.16,0.5,W
0.6,0.33,0.32,0.76,0.87,0.34,0.17,0.17,0.2,0.83,0.64,0.78,0.91,0.45,0.28,0.83,L
0.6,0.33,0.32,0.76,0.87,0.34,0.17,0.17,0.8,0.4,0.09,0.73,0.82,0.8,0.12,0.33,W
0.6,0.33,0.32,0.76,0.87,0.34,0.17,0.17,0.2,0.67,0.31,0.77,0.88,0.53,0.23,0.67,L
0.8,0.25,0.26,0.75,0.84,0.23,0.11,0.17,0.4,0.25,0.94,0.85,0.94,0.34,0.11,0.17,L
0.8,0.25,0.26,0.75,0.84,0.23,0.11,0.17,0.6,0.0,0.51,0.74,0.82,0.43,0.25,0.0,W
0.8,0.25,0.26,0.75,0.84,0.23,0.11,0.17,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.33,L
0.8,0.25,0.26,0.75,0.84,0.23,0.11,0.17,0.4,0.4,0.88,0.8,0.92,0.46,0.19,0.33,L
0.8,0.33,0.22,0.76,0.78,0.25,0.06,0.17,0.4,0.78,0.26,0.72,0.82,0.35,0.22,0.83,L
0.8,0.33,0.22,0.76,0.78,0.25,0.06,0.17,0.8,0.4,0.09,0.73,0.82,0.8,0.12,0.33,W
