jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
114;Andreas Haider-Maurer;AUT;1;2;1;1;33;11.0;23;7.7;0.57;0.74;0.49;0.82;0.21;0.72;0.23;0.43;0.08
115;Denis Kudla;USA;1;7;0;4;24;3.0;26;3.3;0.6;0.7;0.47;0.77;0.34;0.66;0.22;0.46;0.16
116;Stephane Robert;FRA;1;1;0;0;11;5.5;7;3.5;0.56;0.78;0.53;0.8;0.3;0.54;0.25;0.57;0.23
117;Dusan Lajovic;SRB;0;2;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
118;Diego Schwartzman;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
119;Marc Gicquel;FRA;0;2;0;1;6;3.0;9;4.5;0.46;0.69;0.41;0.57;0.5;0.55;0.21;0.43;0.2
120;Grega Zemlja;SLO;4;13;4;5;90;6.0;53;3.5;0.58;0.69;0.43;0.69;0.3;0.5;0.27;0.43;0.15
121;Dominic Thiem;AUT;2;1;0;1;26;8.7;9;3.0;0.54;0.78;0.58;0.92;0.38;0.81;0.28;0.53;0.24
122;Dustin Brown;GER;0;1;0;0;14;14.0;3;3.0;0.63;0.63;0.49;0.71;0.33;0.6;0.25;0.45;0.13
123;Facundo Bagnis;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
124;Facundo Arguello;ARG;0;1;0;0;2;2.0;5;5.0;0.71;0.58;0.42;0.55;0.33;0.62;0.25;0.48;0.2
125;Thomaz Bellucci;BRA;4;10;3;3;63;6.3;35;3.5;0.54;0.7;0.53;0.74;0.33;0.57;0.23;0.47;0.14
126;Pere Riba;ESP;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
127;Rajeev Ram;USA;2;8;1;0;59;5.9;20;2.0;0.63;0.69;0.44;0.71;0.39;0.59;0.24;0.45;0.18
128;Andrej Martin;SVK;1;4;1;2;4;4.0;3;3.0;0.49;0.65;0.36;0.47;0.58;0.18;0.38;0.5;0.41
129;Paul-Henri Mathieu;FRA;3;8;1;2;60;5.5;44;4.0;0.57;0.72;0.48;0.75;0.35;0.56;0.21;0.48;0.13
130;Rhyne Williams;USA;2;7;1;2;93;10.3;43;4.8;0.56;0.76;0.47;0.75;0.41;0.59;0.22;0.51;0.15
131;Ricardas Berankis;LTU;10;9;6;2;94;5.5;70;4.1;0.55;0.73;0.52;0.79;0.31;0.63;0.29;0.5;0.19
132;Rogerio Dutra Silva;BRA;1;3;2;0;5;2.5;8;4.0;0.58;0.6;0.5;0.58;0.35;0.53;0.24;0.5;0.17
133;Martín Alund;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
134;Frank Dancevic;CAN;3;4;3;1;48;9.6;14;2.8;0.63;0.7;0.51;0.75;0.36;0.62;0.26;0.5;0.2
135;Xavier Malisse;BEL;9;11;3;6;153;7.7;59;3.0;0.53;0.72;0.51;0.76;0.4;0.6;0.28;0.51;0.23
136;James Duckworth;AUS;3;5;3;1;113;14.1;29;3.6;0.59;0.73;0.51;0.84;0.34;0.68;0.26;0.47;0.15
137;Guillaume Rufin;FRA;4;5;3;2;55;6.1;41;4.6;0.55;0.72;0.49;0.76;0.31;0.57;0.29;0.5;0.2
138;Wayne Odesnik;USA;1;1;0;0;5;2.5;2;1.0;0.71;0.65;0.63;0.75;0.45;0.25;0.26;0.49;0.21
139;Joao Souza;BRA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
140;Peter Polansky;CAN;0;1;0;0;0;0.0;6;6.0;0.51;0.62;0.4;0.5;0.5;0.42;0.36;0.53;0.36
141;Alex Kuznetsov;USA;1;1;0;2;18;9.0;3;1.5;0.61;0.78;0.54;0.88;0.25;0.25;0.19;0.55;0.15
142;Michael Berrer;GER;0;2;0;1;10;5.0;9;4.5;0.63;0.7;0.3;0.67;0.36;0.62;0.41;0.46;0.35
143;Victor Estrella Burgos;DOM;2;1;0;0;4;2.0;9;4.5;0.53;0.71;0.38;0.61;0.38;0.61;0.33;0.53;0.28
144;Guido Andreozzi;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
145;Thiemo de Bakker;NED;3;4;4;0;48;8.0;10;1.7;0.58;0.71;0.5;0.75;0.35;0.6;0.22;0.5;0.15
146;Andrey Kuznetsov;RUS;2;6;2;1;35;5.0;32;4.6;0.56;0.64;0.48;0.65;0.4;0.6;0.34;0.46;0.26
147;Marius Copil;ROU;2;3;1;2;17;8.5;10;5.0;0.54;0.69;0.42;0.7;0.17;0.59;0.23;0.48;0.09
148;Ruben Bemelmans;BEL;3;5;2;2;64;8.0;26;3.3;0.64;0.72;0.52;0.83;0.43;0.69;0.28;0.51;0.19
149;Jesse Levine;CAN;5;8;2;7;57;4.4;56;4.3;0.57;0.7;0.52;0.79;0.4;0.66;0.26;0.48;0.19
150;Daniel Evans;GBR;3;2;2;1;25;8.3;19;6.3;0.57;0.68;0.48;0.72;0.46;0.56;0.32;0.55;0.31
151;Pierre-Hugues Herbert;FRA;1;2;0;1;20;6.7;10;3.3;0.6;0.7;0.49;0.75;0.41;0.63;0.26;0.47;0.24
152;Potito Starace;ITA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
153;James Blake;USA;8;9;3;7;101;5.9;46;2.7;0.55;0.76;0.49;0.81;0.42;0.65;0.26;0.54;0.24
154;Paul Capdeville;CHI;1;2;0;2;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
155;Illya Marchenko;UKR;1;2;1;0;7;3.5;15;7.5;0.6;0.64;0.42;0.64;0.27;0.47;0.31;0.43;0.17
156;Guilherme Clezar;BRA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
157;Steve Johnson;USA;4;7;4;5;96;8.7;41;3.7;0.56;0.74;0.5;0.84;0.4;0.67;0.23;0.38;0.11
158;Máximo González;ARG;1;1;0;1;12;6.0;8;4.0;0.66;0.73;0.45;0.85;0.33;0.69;0.31;0.53;0.24
159;Matteo Viola;ITA;4;5;0;1;18;2.0;49;5.4;0.62;0.63;0.43;0.63;0.45;0.6;0.32;0.57;0.34
160;Ruben Ramirez Hidalgo;ESP;0;2;0;0;12;6.0;7;3.5;0.55;0.61;0.33;0.46;0.4;0.32;0.25;0.33;0.09
161;Matthias Bachinger;GER;2;2;0;1;28;7.0;15;3.8;0.59;0.69;0.49;0.8;0.45;0.71;0.25;0.5;0.18
162;Peter Gojowczyk;GER;1;1;1;0;23;11.5;14;7.0;0.54;0.77;0.5;0.78;0.48;0.65;0.27;0.54;0.23
163;Tatsuma Ito;JPN;5;7;2;1;36;4.0;35;3.9;0.55;0.67;0.47;0.68;0.32;0.52;0.26;0.49;0.16
164;Rik De Voest;RSA;1;1;0;1;3;3.0;1;1.0;0.69;0.57;0.48;0.6;0.33;0.64;0.28;0.42;0.1
165;Marco Cecchinato;ITA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
166;Jimmy Wang;TPE;0;1;0;0;4;4.0;4;4.0;0.58;0.6;0.52;0.55;0.22;0.38;0.34;0.37;0.18
167;Gastao Elias;POR;0;1;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
168;Radu Albot;MDA;3;1;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
169;Steve Darcis;BEL;1;3;1;2;12;3.0;13;3.3;0.62;0.68;0.52;0.78;0.35;0.59;0.2;0.48;0.12
170;Cedrik-Marcel Stebe;GER;1;2;0;0;7;2.3;4;1.3;0.64;0.68;0.51;0.81;0.33;0.73;0.24;0.35;0.06
171;Malek Jaziri;TUN;0;1;0;0;2;2.0;2;2.0;0.48;0.62;0.48;0.62;0.5;0.55;0.17;0.33;0.08
172;James Ward;GBR;1;1;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
173;Marco Chiudinelli;SUI;1;4;1;3;13;4.3;14;4.7;0.62;0.69;0.43;0.78;0.35;0.73;0.28;0.53;0.16
174;Mischa Zverev;GER;2;4;2;3;18;3.0;17;2.8;0.68;0.69;0.42;0.74;0.4;0.55;0.28;0.53;0.23
175;John Millman;AUS;2;3;0;0;36;7.2;25;5.0;0.62;0.7;0.46;0.74;0.44;0.62;0.32;0.51;0.28
176;Yuichi Sugita;JPN;1;2;0;0;3;1.5;7;3.5;0.65;0.59;0.35;0.5;0.0;0.58;0.19;0.32;0.0
177;Marsel Ilhan;TUR;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
178;Gerald Melzer;AUT;0;1;0;1;2;2.0;2;2.0;0.63;0.46;0.63;0.56;0.67;0.56;0.13;0.52;0.2
179;David Guez;FRA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
180;Hiroki Moriya;JPN;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
181;Konstantin Kravchuk;RUS;2;1;1;0;15;7.5;7;3.5;0.68;0.75;0.4;0.72;0.33;0.44;0.22;0.32;0.11
182;Renzo Olivo;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
183;Sam Groth;AUS;1;2;1;0;40;13.3;12;4.0;0.65;0.7;0.55;0.81;0.35;0.56;0.29;0.46;0.17
184;Bobby Reynolds;USA;1;3;0;0;20;5.0;19;4.8;0.57;0.67;0.44;0.67;0.53;0.44;0.2;0.45;0.19
185;Thomas Fabbiano;ITA;0;1;0;1;0;0.0;7;7.0;0.66;0.64;0.46;0.79;0.2;0.75;0.15;0.44;0.06
186;Nick Kyrgios;AUS;0;1;0;0;8;8.0;3;3.0;0.69;0.67;0.31;0.64;0.33;0.55;0.13;0.42;0.07
187;Tennys Sandgren;USA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
188;Andreas Beck;GER;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
189;Damir Dzumhur;BIH;1;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
190;Flavio Cipolla;ITA;1;5;0;2;8;1.3;19;3.2;0.66;0.57;0.42;0.55;0.43;0.51;0.3;0.5;0.23
