jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
129;Paul-Henri Mathieu;FRA;1;3;1;3;39;9.8;19;4.8;0.54;0.77;0.51;0.84;0.35;0.63;0.17;0.5;0.13
130;Rhyne Williams;USA;0;2;0;0;10;5.0;4;2.0;0.6;0.58;0.47;0.53;0.33;0.33;0.15;0.43;0.11
131;Ricardas Berankis;LTU;0;3;1;1;32;10.7;20;6.7;0.54;0.79;0.49;0.82;0.17;0.65;0.19;0.42;0.04
132;Rogerio Dutra Silva;BRA;0;2;1;0;4;2.0;6;3.0;0.61;0.7;0.53;0.71;0.0;0.33;0.2;0.29;0.0
133;Martín Alund;ARG;0;1;0;0;8;8.0;2;2.0;0.74;0.65;0.45;0.67;0.67;0.5;0.16;0.53;0.11
134;Frank Dancevic;CAN;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
135;Xavier Malisse;BEL;4;3;2;1;55;7.9;15;2.1;0.6;0.73;0.52;0.8;0.38;0.55;0.27;0.55;0.2
136;James Duckworth;AUS;0;1;0;0;19;19.0;5;5.0;0.58;0.81;0.35;0.68;0.24;0.53;0.32;0.42;0.17
137;Guillaume Rufin;FRA;1;3;2;1;54;13.5;29;7.3;0.58;0.76;0.44;0.76;0.47;0.65;0.25;0.58;0.22
138;Wayne Odesnik;USA;0;1;0;1;6;6.0;2;2.0;0.7;0.6;0.54;0.65;0.67;0.64;0.34;0.53;0.32
139;Joao Souza;BRA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
140;Peter Polansky;CAN;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
141;Alex Kuznetsov;USA;1;2;0;0;15;5.0;4;1.3;0.55;0.81;0.44;0.79;0.2;0.36;0.29;0.43;0.12
142;Michael Berrer;GER;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
143;Victor Estrella Burgos;DOM;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
144;Guido Andreozzi;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
145;Thiemo de Bakker;NED;1;3;1;2;16;4.0;6;1.5;0.67;0.67;0.46;0.74;0.29;0.62;0.19;0.39;0.09
146;Andrey Kuznetsov;RUS;2;3;1;2;42;8.4;14;2.8;0.61;0.74;0.52;0.83;0.24;0.72;0.25;0.48;0.13
147;Marius Copil;ROU;1;1;0;1;27;13.5;9;4.5;0.59;0.78;0.57;0.92;0.38;0.6;0.24;0.36;0.12
148;Ruben Bemelmans;BEL;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
149;Jesse Levine;CAN;1;3;0;1;39;9.8;33;8.3;0.6;0.64;0.45;0.67;0.52;0.65;0.29;0.48;0.22
150;Daniel Evans;GBR;2;1;0;1;18;6.0;9;3.0;0.67;0.72;0.49;0.81;0.53;0.65;0.3;0.57;0.25
151;Pierre-Hugues Herbert;FRA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
152;Potito Starace;ITA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
153;James Blake;USA;1;3;0;0;31;7.8;11;2.8;0.51;0.78;0.46;0.76;0.32;0.57;0.28;0.52;0.18
154;Paul Capdeville;CHI;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
155;Illya Marchenko;UKR;0;1;0;0;6;6.0;6;6.0;0.52;0.8;0.36;0.69;0.5;0.56;0.39;0.28;0.14
156;Guilherme Clezar;BRA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
157;Steve Johnson;USA;0;1;1;1;25;25.0;8;8.0;0.55;0.76;0.48;0.88;0.18;0.81;0.28;0.36;0.08
158;Máximo González;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
159;Matteo Viola;ITA;0;1;0;0;4;4.0;8;8.0;0.49;0.61;0.34;0.33;0.67;0.45;0.24;0.36;0.25
160;Ruben Ramirez Hidalgo;ESP;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
161;Matthias Bachinger;GER;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
162;Peter Gojowczyk;GER;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
163;Tatsuma Ito;JPN;0;1;0;0;3;3.0;4;4.0;0.62;0.64;0.46;0.64;0.5;0.43;0.25;0.43;0.1
164;Rik De Voest;RSA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
165;Marco Cecchinato;ITA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
166;Jimmy Wang;TPE;1;2;1;0;16;5.3;8;2.7;0.68;0.64;0.45;0.67;0.36;0.5;0.31;0.41;0.2
167;Gastao Elias;POR;0;1;0;1;0;0.0;6;6.0;0.43;0.59;0.53;0.62;0.5;0.5;0.19;0.3;0.07
168;Radu Albot;MDA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
