"","PC1","PC2","PC3","class"
"38",-0.411356232544696,-0.314062473634664,0.0140725701756908,"W"
"39",-0.604975798820491,-0.18256360316251,0.205464571325803,"W"
"40",-0.580456860730892,-0.193068486277718,0.265191179600685,"W"
"41",-0.8673134850952,0.123544633114307,-0.181773009442292,"L"
"42",-0.311038825204066,-0.441795611734823,0.330213862428914,"W"
"43",-0.519906687938988,-0.184789483881108,0.0671402081751692,"W"
"44",-0.794732196969138,0.0526859580640408,-0.218992318034545,"L"
"45",-0.452859535301505,-0.31756816237421,0.335026996360083,"W"
"46",-0.673924121411006,-0.106205597002289,0.182659050024772,"W"
"47",-0.519906687938988,-0.184789483881108,0.0671402081751692,"W"
"48",-0.209595449910109,-0.531742019250499,0.200220310190396,"L"
"49",-0.583853825612097,-0.172783323368254,0.130179788287442,"W"
"50",-0.581929523745135,-0.165079615060474,0.0673022463541094,"W"
"51",-0.8673134850952,0.123544633114307,-0.181773009442292,"W"
"52",-0.583853825612097,-0.172783323368254,0.130179788287442,"W"
"53",-0.415977733526884,-0.324410731551896,0.290091068808144,"W"
"54",-0.586012834012766,-0.167348939396482,0.101753735825916,"W"
"55",-0.623990639110405,-0.161744074983989,0.216686503627038,"L"
"56",-0.451076829241556,-0.299110866245853,0.201159202998713,"W"
"57",-0.452859535301505,-0.31756816237421,0.335026996360083,"W"
"58",-0.799357830601877,0.033710505195323,0.0812837605568278,"W"
"59",-0.509085617011867,-0.240664244189405,0.0508703253495738,"W"
"60",-0.214498644318221,-0.173018966820971,0.110958350959009,"L"
"61",-0.138481285130671,-0.322580307194712,0.592733759051917,"W"
"62",-0.214498644318221,-0.173018966820971,0.110958350959009,"W"
"63",-0.425530065847615,0.00162700907315114,0.0875414108552828,"W"
"64",-0.675460206979261,0.288624248174781,-0.24907525579637,"L"
"65",-0.115550979169585,-0.292160810574354,0.357497562037783,"W"
"66",-0.338758504729768,-0.00770512960282325,-0.159605341700711,"W"
"67",-0.347466310796443,-0.0459508298760752,0.180119038107625,"W"
"68",-0.261006257185566,-0.152488547313737,0.267724750006006,"W"
"69",-0.581929523745136,0.165079615060474,-0.06730224635401,"L"
"70",-0.461674389192056,-0.130735470048475,0.252563018797411,"W"
"71",-0.252689363526285,-0.407364947367112,0.665177739741702,"W"
"72",-0.390137061850544,-0.209963561960686,0.130261040932476,"W"
"73",0.327407352136672,-0.964569200225798,0.0120437935874986,"W"
"74",-0.717086997248813,0.132980932952114,-0.213850583698837,"L"
"75",-0.54634543939008,-0.0814491000959159,0.221828237962745,"W"
"76",-0.502811661010567,-0.112773511389645,0.270332913936393,"W"
"77",-0.252689363526285,-0.407364947367112,0.665177739741702,"W"
"78",-0.373431629521231,-0.21881589135778,0.206300937334421,"L"
"79",-0.596232110740041,-0.0113379852717277,0.0738922090504226,"W"
"80",-0.431440417291542,-0.160369269301331,0.0560120596852815,"W"
"81",-0.138309538890643,-0.202653946097306,0.32345642884846,"W"
"82",-0.260180239023474,-0.0553939336692654,0.041218984006814,"W"
"83",-0.540856083047053,0.237475441945148,-0.286132526209694,"L"
"84",-0.279748358752108,-0.030753222458056,0.00655465999199992,"W"
"85",-0.139005797336184,-0.150451035020544,0.1517241118574,"W"
"86",-0.162101619604799,-0.139621247670789,0.222950860632994,"W"
"87",-0.0975859148175454,-0.235040249219354,0.260253507023957,"W"
"88",-0.51990668793899,0.184789483881107,-0.0671402081750816,"L"
"89",0.503638266338432,-0.860074691232764,-0.0602381489233585,"W"
"90",-0.37011452518832,0.0230454088971175,0.149546295451888,"W"
"91",-0.51990668793899,0.184789483881107,-0.0671402081750816,"L"
"92",-0.149548215852904,-0.169210636422169,0.181336536719217,"W"
"93",0.0442806640119762,-0.346952535369392,0.133080102015247,"W"
"94",-0.37011452518832,0.0230454088971175,0.149546295451888,"L"
"95",-0.190252921478245,-0.139258511218453,-0.033332458864216,"W"
"96",-0.326148180615638,0.00371116414827386,-0.0343879192968794,"L"
"97",0.0156062308066758,-0.31337815740463,-0.199637362962652,"L"
"98",-0.202806325230141,-0.109669122467073,0.00828186504956105,"W"
"99",-0.340743163486997,-0.0178756455003682,-0.0959490887243102,"W"
"100",0.526091872755463,-0.836954896781586,-0.388331322267112,"L"
"101",-0.15106087869832,-0.193419327545647,0.0407757679416296,"L"
"102",-0.205654703304228,0.162460863517275,0.108211366692798,"L"
"103",-0.0863463863844074,0.0395559958469828,0.26517306810353,"W"
"104",-0.128727486303328,0.0891455587243518,0.057327956216456,"W"
"105",-0.158961458203843,0.118779357977208,0.253878915328585,"W"
"106",-0.00819321769656989,-0.0186220466619505,0.0907585121616913,"W"
"107",-0.126497269235607,0.0426023880471151,0.35659834762456,"W"
"108",-0.0125237805497306,-0.00543071598789369,0.225321950899432,"L"
